Vol_Regime,days,strat_return,avg_daily_return,vol
High,245,0.15003435767683837,0.0006398422535381344,0.011762161810803164
Low,245,0.07781381425078271,0.00032569154199544903,0.006304089076406567
Medium,252,-0.002714836858674685,1.9659421355545604e-05,0.007812671472937922
