Date,Open,High,Low,Close,Volume,Change %,Return,MA5,MA20,Volatility,Signal,Position,Strategy_Return,Cumulative_Market,Cumulative_Strategy,PositionChange,Vol_Regime
2022-01-28,17200.0,17395.0,17095.0,17125.65,13.01M,0.0009,0.0009058950389095877,17171.23,17789.845,463.0113886288353,-1,0.0,0.0,0.9687576896642428,1.0,,High
2022-01-31,17300.0,17424.95,17271.0,17361.95,10.77M,0.0138,0.013798016425653925,17213.29,17774.045,378.9729508450781,-1,-1.0,-0.013798016425653925,0.9821246241787086,0.9862019835743461,-1.0,High
2022-02-01,17524.95,17634.0,17231.25,17589.0,18.65M,0.0131,0.013077448097707833,17274.4,17761.157499999998,308.04552946314095,-1,-1.0,-0.013077448097707833,0.9949683079768865,0.973304978320296,0.0,High
2022-02-02,17705.25,17809.8,17680.05,17795.9,8.51M,0.0118,0.011763033714253357,17396.53,17752.905,275.930223466418,-1,-1.0,-0.011763033714253357,1.0066721537282322,0.9618559590460638,0.0,High
2022-02-03,17780.05,17784.0,17500.0,17547.1,10.79M,-0.014,-0.013980748374625818,17483.920000000002,17740.8275,244.5526423674347,-1,-1.0,0.013980748374625818,0.9925981236512151,0.9753034251821213,0.0,High
2022-02-04,17521.0,17632.0,17475.0,17529.65,9.64M,-0.001,-0.00099446632207012,17564.72,17724.595,236.3512619551322,-1,-1.0,0.00099446632207012,0.991611018245894,0.9762733315922647,0.0,High
2022-02-07,17458.55,17532.55,17125.0,17218.3,10.83M,-0.0178,-0.01776133579392636,17535.989999999998,17683.1,230.4389890332634,-1,-1.0,0.01776133579392636,0.9739986819738715,0.9936132500613302,0.0,Medium
2022-02-08,17265.0,17304.0,17048.2,17273.0,12.29M,0.0032,0.003176852534803043,17472.79,17642.572500000002,230.92165632767518,-1,-1.0,-0.003176852534803043,0.977092932155595,0.990456687289259,0.0,Medium
2022-02-09,17351.4,17490.0,17330.3,17480.15,7.83M,0.012,0.011992705378336188,17409.640000000003,17604.52,222.88682485613697,-1,-1.0,-0.011992705378336188,0.9888109198181917,0.978578432048596,0.0,Medium
2022-02-10,17525.0,17650.0,17440.5,17617.65,9.20M,0.0079,0.007866065222552399,17423.75,17571.04,205.90678318384084,-1,-1.0,-0.007866065222552399,0.9965889710062537,0.9708808702767187,0.0,Medium
2022-02-11,17448.0,17473.25,17282.3,17355.8,12.40M,-0.0149,-0.014862935749092698,17388.980000000003,17524.08,175.81145045507535,-1,-1.0,0.014862935749092698,0.9817767331619333,0.9853110102716648,0.0,Medium
2022-02-14,17129.0,17129.0,16801.0,16837.85,12.48M,-0.0298,-0.029843049585729364,17312.89,17449.142499999998,267.8801357158038,-1,-1.0,0.029843049585729364,0.9524775214320663,1.0147156956085672,0.0,High
2022-02-15,16894.0,17382.9,16837.0,17360.65,15.72M,0.031,0.031049094747845007,17330.420000000002,17410.9575,261.9611299092665,-1,-1.0,-0.031049094747845007,0.9820510862402031,0.9832096918334914,0.0,High
2022-02-16,17390.0,17495.0,17240.15,17317.35,13.87M,-0.0025,-0.0024941462445243756,17297.86,17378.120000000003,222.6961183117416,-1,-1.0,0.0024941462445243756,0.9796017072115261,0.9856619605939579,0.0,Medium
2022-02-17,17374.9,17436.9,17217.35,17290.2,12.48M,-0.0016,-0.001567791838820498,17232.370000000003,17352.425,212.49749514865016,-1,-1.0,0.001567791838820498,0.9780658956496652,0.9872072733716128,0.0,Medium
2022-02-18,17248.0,17388.0,17218.7,17278.05,9.80M,-0.0007,-0.0007027102057813872,17216.82,17335.4375,200.5350855974129,-1,-1.0,0.0007027102057813872,0.9773785987628655,0.9879009939978326,0.0,Medium
2022-02-21,17206.2,17354.0,17081.0,17205.2,11.98M,-0.0042,-0.004216332282867441,17290.29,17338.114999999998,201.19085852881517,-1,-1.0,0.004216332282867441,0.9732576458243178,0.9920663128511025,0.0,Medium
2022-02-22,16899.7,17145.0,16851.0,17073.6,14.82M,-0.0076,-0.007648850347569458,17232.879999999997,17327.6225,213.82388131878196,-1,-1.0,0.007648850347569458,0.9658133437417799,0.9996544796129655,0.0,Medium
2022-02-23,17170.0,17218.65,17043.3,17080.65,9.85M,0.0004,0.00041291818948563375,17185.54,17322.3925,209.90066301310168,-1,-1.0,-0.00041291818948563375,0.9662121456390588,0.9992417040951325,0.0,Medium
2022-02-24,16600.0,16763.95,16230.1,16247.95,15.15M,-0.0488,-0.04875107211962082,16977.09,17279.2825,342.3963664786529,-1,-1.0,0.04875107211962082,0.9191082676441554,1.047955808476407,0.0,High
2022-02-25,16449.85,16763.75,16449.85,16656.05,17.59M,0.0251,0.025117014761862233,16852.690000000002,17255.802499999998,356.59345623242143,-1,-1.0,-0.025117014761862233,0.9421935235703233,1.0216342869651258,0.0,High
2022-02-28,16525.0,16825.0,16366.85,16794.25,15.52M,0.0083,0.008297285370781227,16770.5,17227.417500000003,359.5229891042441,-1,-1.0,-0.008297285370781227,0.9500111721098882,1.0131574957416016,0.0,High
2022-03-01,16928.25,16954.2,16459.25,16502.0,,-0.0174,-0.017401789302886383,16656.18,17173.0675,374.1235603974306,-1,-1.0,0.017401789302886383,0.9334792778574438,1.030788249013137,0.0,High
2022-03-02,16595.0,16678.0,16468.0,16613.45,13.79M,0.0068,0.006753726820991401,16562.74,17113.945,362.21350962596756,-1,-1.0,-0.006753726820991401,0.9397837418931493,1.0238265867690142,0.0,High
2022-03-03,16741.0,16769.75,16445.1,16505.6,11.83M,-0.0065,-0.006491728087784421,16614.269999999997,17061.870000000003,346.72174738703103,-1,-1.0,0.006491728087784421,0.9336829213794584,1.0304729905793628,0.0,High
2022-03-04,16305.1,16479.35,16152.0,16258.95,17.01M,-0.0149,-0.014943413144629547,16534.85,16998.335,338.8683005403652,-1,-1.0,0.014943413144629547,0.9197305117392005,1.045871774211972,0.0,High
2022-03-07,15900.0,15958.1,15711.15,15872.2,19.25M,-0.0238,-0.02378689890798602,16350.439999999999,16931.030000000002,375.53121574644524,-1,-1.0,0.02378689890798602,0.8978529750338698,1.0707498203758683,0.0,High
2022-03-08,15770.0,16033.0,15676.35,16010.9,18.17M,0.0087,0.008738549161426912,16252.220000000001,16867.925,364.3875996487539,-1,-1.0,-0.008738549161426912,0.9056989073959367,1.0613930204309248,0.0,High
2022-03-09,16065.0,16422.35,15961.0,16365.7,15.20M,0.0222,0.02215990356569586,16202.670000000002,16812.2025,290.4560020706937,-1,-1.0,-0.02215990356569586,0.9257691078433868,1.0378726534528728,0.0,High
2022-03-10,16730.0,16753.5,16450.0,16611.9,15.99M,0.015,0.015043658383081748,16223.929999999998,16761.915,294.46895327767015,-1,-1.0,-0.015043658383081748,0.9396960620433931,1.0222592518091853,0.0,High
2022-03-11,16510.0,16707.8,16475.05,16647.75,10.81M,0.0022,0.0021580914886316638,16301.690000000002,16726.5125,293.7376590315507,-1,-1.0,-0.0021580914886316638,0.9417240121167896,1.0200531228186809,0.0,High
2022-03-14,16624.95,16912.6,16610.15,16885.4,10.34M,0.0143,0.014275202354672611,16504.33,16728.89,307.7796750292543,-1,-1.0,-0.014275202354672611,0.955167312952011,1.0054916580779285,0.0,High
2022-03-15,16890.0,16928.9,16556.7,16669.0,13.78M,-0.0128,-0.01281580537032001,16635.95,16694.3075,316.6800813386735,-1,-1.0,0.01281580537032001,0.9429260745731265,1.0183778434693356,0.0,High
2022-03-16,16870.0,17028.7,16856.0,17008.75,11.93M,0.0204,0.020382146499489995,16764.56,16678.8775,361.6493567670237,1,-1.0,-0.020382146499489995,0.962144931963265,0.9976211170719089,0.0,High
